Row ID,pur_ID,date,trans_mode,cust_ID,prod_ID,sales,items,price,promo
1,CA-2016-152156,2016-11-08T00:00:00Z,Second Class,CG-12520,FUR-BO-10001798,261.96,2,130.98,0
2,CA-2016-152156,2016-11-08T00:00:00Z,Second Class,CG-12520,FUR-CH-10000454,731.94,3,243.98,0
3,CA-2016-138688,2016-06-12T00:00:00Z,Second Class,DV-13045,OFF-LA-10000240,14.62,2,7.31,0
4,US-2015-108966,2015-10-11T00:00:00Z,Standard Class,SO-20335,FUR-TA-10000577,957.5775,5,191.5155,0.45
5,US-2015-108966,2015-10-11T00:00:00Z,Standard Class,SO-20335,OFF-ST-10000760,22.368,2,11.184,0.2
6,CA-2014-115812,2014-06-09T00:00:00Z,Standard Class,BH-11710,FUR-FU-10001487,48.86,7,6.98,0
7,CA-2014-115812,2014-06-09T00:00:00Z,Standard Class,BH-11710,OFF-AR-10002833,7.28,4,1.82,0
8,CA-2014-115812,2014-06-09T00:00:00Z,Standard Class,BH-11710,TEC-PH-10002275,907.152,6,151.192,0.2
9,CA-2014-115812,2014-06-09T00:00:00Z,Standard Class,BH-11710,OFF-BI-10003910,18.504,3,6.168,0.2
10,CA-2014-115812,2014-06-09T00:00:00Z,Standard Class,BH-11710,OFF-AP-10002892,114.9,5,22.98,0
11,CA-2014-115812,2014-06-09T00:00:00Z,Standard Class,BH-11710,FUR-TA-10001539,1706.184,9,189.576,0.2
12,CA-2014-115812,2014-06-09T00:00:00Z,Standard Class,BH-11710,TEC-PH-10002033,911.424,4,227.856,0.2
13,CA-2017-114412,2017-04-15T00:00:00Z,Standard Class,AA-10480,OFF-PA-10002365,15.552,3,5.184,0.2
14,CA-2016-161389,2016-12-05T00:00:00Z,Standard Class,IM-15070,OFF-BI-10003656,407.976,3,135.992,0.2
15,US-2015-118983,2015-11-22T00:00:00Z,Standard Class,HP-14815,OFF-AP-10002311,68.81,5,13.762,0.8
16,US-2015-118983,2015-11-22T00:00:00Z,Standard Class,HP-14815,OFF-BI-10000756,2.544,3,0.848,0.8
17,CA-2014-105893,2014-11-11T00:00:00Z,Standard Class,PK-19075,OFF-ST-10004186,665.88,6,110.98,0
18,CA-2014-167164,2014-05-13T00:00:00Z,Second Class,AG-10270,OFF-ST-10000107,55.5,2,27.75,0
19,CA-2014-143336,2014-08-27T00:00:00Z,Second Class,ZD-21925,OFF-AR-10003056,8.56,2,4.28,0
20,CA-2014-143336,2014-08-27T00:00:00Z,Second Class,ZD-21925,TEC-PH-10001949,213.48,3,71.16,0.2
21,CA-2014-143336,2014-08-27T00:00:00Z,Second Class,ZD-21925,OFF-BI-10002215,22.72,4,5.68,0.2
22,CA-2016-137330,2016-12-09T00:00:00Z,Standard Class,KB-16585,OFF-AR-10000246,19.46,7,2.78,0
23,CA-2016-137330,2016-12-09T00:00:00Z,Standard Class,KB-16585,OFF-AP-10001492,60.34,7,8.62,0
24,US-2017-156909,2017-07-16T00:00:00Z,Second Class,SF-20065,FUR-CH-10002774,71.372,2,35.686,0.3
25,CA-2015-106320,2015-09-25T00:00:00Z,Standard Class,EB-13870,FUR-TA-10000577,1044.63,3,348.21,0
26,CA-2016-121755,2016-01-16T00:00:00Z,Second Class,EH-13945,OFF-BI-10001634,11.648,2,5.824,0.2
27,CA-2016-121755,2016-01-16T00:00:00Z,Second Class,EH-13945,TEC-AC-10003027,90.57,3,30.19,0
28,US-2015-150630,2015-09-17T00:00:00Z,Standard Class,TB-21520,FUR-BO-10004834,3083.43,7,440.49,0.5
29,US-2015-150630,2015-09-17T00:00:00Z,Standard Class,TB-21520,OFF-BI-10000474,9.618,2,4.809,0.7
30,US-2015-150630,2015-09-17T00:00:00Z,Standard Class,TB-21520,FUR-FU-10004848,124.2,3,41.4,0.2
31,US-2015-150630,2015-09-17T00:00:00Z,Standard Class,TB-21520,OFF-EN-10001509,3.264,2,1.632,0.2
32,US-2015-150630,2015-09-17T00:00:00Z,Standard Class,TB-21520,OFF-AR-10004042,86.304,6,14.384,0.2
33,US-2015-150630,2015-09-17T00:00:00Z,Standard Class,TB-21520,OFF-BI-10001525,6.858,6,1.143,0.7
34,US-2015-150630,2015-09-17T00:00:00Z,Standard Class,TB-21520,OFF-AR-10001683,15.76,2,7.88,0.2
35,CA-2017-107727,2017-10-19T00:00:00Z,Second Class,MA-17560,OFF-PA-10000249,29.472,3,9.824,0.2
36,CA-2016-117590,2016-12-08T00:00:00Z,First Class,GH-14485,TEC-PH-10004977,1097.544,7,156.792,0.2
37,CA-2016-117590,2016-12-08T00:00:00Z,First Class,GH-14485,FUR-FU-10003664,190.92,5,38.184,0.6
38,CA-2015-117415,2015-12-27T00:00:00Z,Standard Class,SN-20710,OFF-EN-10002986,113.328,9,12.592,0.2
39,CA-2015-117415,2015-12-27T00:00:00Z,Standard Class,SN-20710,FUR-BO-10002545,532.3992,3,177.4664,0.32
40,CA-2015-117415,2015-12-27T00:00:00Z,Standard Class,SN-20710,FUR-CH-10004218,212.058,3,70.686,0.3
41,CA-2015-117415,2015-12-27T00:00:00Z,Standard Class,SN-20710,TEC-PH-10000486,371.168,4,92.792,0.2
42,CA-2017-120999,2017-09-10T00:00:00Z,Standard Class,LC-16930,TEC-PH-10004093,147.168,4,36.792,0.2
43,CA-2016-101343,2016-07-17T00:00:00Z,Standard Class,RA-19885,OFF-ST-10003479,77.88,2,38.94,0
44,CA-2017-139619,2017-09-19T00:00:00Z,Standard Class,ES-14080,OFF-ST-10003282,95.616,2,47.808,0.2
45,CA-2016-118255,2016-03-11T00:00:00Z,First Class,ON-18715,TEC-AC-10000171,45.98,2,22.99,0
46,CA-2016-118255,2016-03-11T00:00:00Z,First Class,ON-18715,OFF-BI-10003291,17.46,2,8.73,0
47,CA-2014-146703,2014-10-20T00:00:00Z,Second Class,PO-18865,OFF-ST-10001713,211.96,4,52.99,0
48,CA-2016-169194,2016-06-20T00:00:00Z,Standard Class,LH-16900,TEC-AC-10002167,45,3,15,0
49,CA-2016-169194,2016-06-20T00:00:00Z,Standard Class,LH-16900,TEC-PH-10003988,21.8,2,10.9,0
50,CA-2015-115742,2015-04-18T00:00:00Z,Standard Class,DP-13000,OFF-BI-10004410,38.22,6,6.37,0
51,CA-2015-115742,2015-04-18T00:00:00Z,Standard Class,DP-13000,OFF-LA-10002762,75.18,6,12.53,0
52,CA-2015-115742,2015-04-18T00:00:00Z,Standard Class,DP-13000,FUR-FU-10001706,6.16,2,3.08,0
53,CA-2015-115742,2015-04-18T00:00:00Z,Standard Class,DP-13000,FUR-CH-10003061,89.99,1,89.99,0
54,CA-2016-105816,2016-12-11T00:00:00Z,Standard Class,JM-15265,OFF-FA-10000304,15.26,7,2.18,0
55,CA-2016-105816,2016-12-11T00:00:00Z,Standard Class,JM-15265,TEC-PH-10002447,1029.95,5,205.99,0
56,CA-2016-111682,2016-06-17T00:00:00Z,First Class,TB-21055,OFF-ST-10000604,208.56,6,34.76,0
57,CA-2016-111682,2016-06-17T00:00:00Z,First Class,TB-21055,OFF-PA-10001569,32.4,5,6.48,0
58,CA-2016-111682,2016-06-17T00:00:00Z,First Class,TB-21055,FUR-CH-10003968,319.41,5,63.882,0.1
59,CA-2016-111682,2016-06-17T00:00:00Z,First Class,TB-21055,OFF-PA-10000587,14.56,2,7.28,0
60,CA-2016-111682,2016-06-17T00:00:00Z,First Class,TB-21055,TEC-AC-10002167,30,2,15,0
61,CA-2016-111682,2016-06-17T00:00:00Z,First Class,TB-21055,OFF-BI-10001460,48.48,4,12.12,0.2
62,CA-2016-111682,2016-06-17T00:00:00Z,First Class,TB-21055,OFF-AR-10001868,1.68,1,1.68,0
63,CA-2015-135545,2015-11-24T00:00:00Z,Standard Class,KM-16720,TEC-AC-10004633,13.98,2,6.99,0
64,CA-2015-135545,2015-11-24T00:00:00Z,Standard Class,KM-16720,OFF-BI-10001078,25.824,6,4.304,0.2
65,CA-2015-135545,2015-11-24T00:00:00Z,Standard Class,KM-16720,OFF-PA-10003892,146.73,3,48.91,0
66,CA-2015-135545,2015-11-24T00:00:00Z,Standard Class,KM-16720,FUR-FU-10000397,79.76,4,19.94,0
67,US-2015-164175,2015-04-30T00:00:00Z,Standard Class,PS-18970,FUR-CH-10001146,213.115,5,42.623,0.3
68,CA-2014-106376,2014-12-05T00:00:00Z,Standard Class,BS-11590,OFF-AR-10002671,1113.024,8,139.128,0.2
69,CA-2014-106376,2014-12-05T00:00:00Z,Standard Class,BS-11590,TEC-PH-10002726,167.968,4,41.992,0.2
70,CA-2016-119823,2016-06-04T00:00:00Z,First Class,KD-16270,OFF-PA-10000482,75.88,2,37.94,0
71,CA-2016-106075,2016-09-18T00:00:00Z,Standard Class,HM-14980,OFF-BI-10004654,4.616,1,4.616,0.2
72,CA-2017-114440,2017-09-14T00:00:00Z,Second Class,TB-21520,OFF-PA-10004675,19.05,3,6.35,0
73,US-2015-134026,2015-04-26T00:00:00Z,Standard Class,JE-15745,FUR-CH-10000513,831.936,8,103.992,0.2
74,US-2015-134026,2015-04-26T00:00:00Z,Standard Class,JE-15745,FUR-FU-10003708,97.04,2,48.52,0.2
75,US-2015-134026,2015-04-26T00:00:00Z,Standard Class,JE-15745,OFF-ST-10004123,72.784,1,72.784,0.2
76,US-2017-118038,2017-12-09T00:00:00Z,First Class,KB-16600,OFF-BI-10004182,1.248,3,0.416,0.8
77,US-2017-118038,2017-12-09T00:00:00Z,First Class,KB-16600,FUR-FU-10000260,9.708,3,3.236,0.6
78,US-2017-118038,2017-12-09T00:00:00Z,First Class,KB-16600,OFF-ST-10000615,27.24,3,9.08,0.2
79,US-2014-147606,2014-11-26T00:00:00Z,Second Class,JE-15745,FUR-FU-10003194,19.3,5,3.86,0.6
80,CA-2016-127208,2016-06-12T00:00:00Z,First Class,SC-20770,OFF-AP-10002118,208.16,1,208.16,0
81,CA-2016-127208,2016-06-12T00:00:00Z,First Class,SC-20770,OFF-BI-10002309,16.74,3,5.58,0
82,CA-2014-139451,2014-10-12T00:00:00Z,Standard Class,DN-13690,OFF-AR-10002053,14.9,5,2.98,0
83,CA-2014-139451,2014-10-12T00:00:00Z,Standard Class,DN-13690,OFF-ST-10002370,21.39,1,21.39,0
84,CA-2015-149734,2015-09-03T00:00:00Z,Standard Class,JC-16105,OFF-EN-10000927,200.984,7,28.712,0.2
85,US-2017-119662,2017-11-13T00:00:00Z,First Class,CS-12400,OFF-ST-10003656,230.376,3,76.792,0.2
86,CA-2017-140088,2017-05-28T00:00:00Z,Second Class,PO-18865,FUR-CH-10000863,301.96,2,150.98,0
87,CA-2017-155558,2017-10-26T00:00:00Z,Standard Class,PG-18895,TEC-AC-10001998,19.99,1,19.99,0
88,CA-2017-155558,2017-10-26T00:00:00Z,Standard Class,PG-18895,OFF-LA-10000134,6.16,2,3.08,0
89,CA-2016-159695,2016-04-05T00:00:00Z,Second Class,GM-14455,OFF-ST-10003442,158.368,7,22.624,0.2
90,CA-2016-109806,2016-09-17T00:00:00Z,Standard Class,JS-15685,OFF-AR-10004930,20.1,3,6.7,0
91,CA-2016-109806,2016-09-17T00:00:00Z,Standard Class,JS-15685,TEC-PH-10004093,73.584,2,36.792,0.2
92,CA-2016-109806,2016-09-17T00:00:00Z,Standard Class,JS-15685,OFF-PA-10000304,6.48,1,6.48,0
93,CA-2015-149587,2015-01-31T00:00:00Z,Second Class,KB-16315,OFF-PA-10003177,12.96,2,6.48,0
94,CA-2015-149587,2015-01-31T00:00:00Z,Second Class,KB-16315,FUR-FU-10003799,53.34,3,17.78,0
95,CA-2015-149587,2015-01-31T00:00:00Z,Second Class,KB-16315,OFF-BI-10002852,32.96,2,16.48,0
96,US-2017-109484,2017-11-06T00:00:00Z,Standard Class,RB-19705,OFF-BI-10004738,5.682,1,5.682,0.7
97,CA-2017-161018,2017-11-09T00:00:00Z,Second Class,PN-18775,FUR-FU-10000629,96.53,7,13.79,0
98,CA-2017-157833,2017-06-17T00:00:00Z,First Class,KD-16345,OFF-BI-10001721,51.312,3,17.104,0.2
99,CA-2016-149223,2016-09-06T00:00:00Z,Standard Class,ER-13855,OFF-AP-10000358,77.88,6,12.98,0
100,CA-2016-158568,2016-08-29T00:00:00Z,Standard Class,RB-19465,OFF-PA-10003256,64.624,7,9.232,0.2
101,CA-2016-158568,2016-08-29T00:00:00Z,Standard Class,RB-19465,TEC-AC-10001767,95.976,3,31.992,0.2
102,CA-2016-158568,2016-08-29T00:00:00Z,Standard Class,RB-19465,OFF-BI-10002609,1.788,3,0.596,0.8
103,CA-2016-129903,2016-12-01T00:00:00Z,Second Class,GZ-14470,OFF-PA-10004040,23.92,4,5.98,0
104,US-2015-156867,2015-11-13T00:00:00Z,Standard Class,LC-16870,TEC-AC-10001552,238.896,6,39.816,0.2
105,US-2015-156867,2015-11-13T00:00:00Z,Standard Class,LC-16870,FUR-FU-10004006,102.36,3,34.12,0.2
106,US-2015-156867,2015-11-13T00:00:00Z,Standard Class,LC-16870,OFF-BI-10002794,36.882,3,12.294,0.7
107,CA-2017-119004,2017-11-23T00:00:00Z,Standard Class,JM-15250,TEC-AC-10003499,74.112,8,9.264,0.2
108,CA-2017-119004,2017-11-23T00:00:00Z,Standard Class,JM-15250,TEC-PH-10002844,27.992,1,27.992,0.2
109,CA-2017-119004,2017-11-23T00:00:00Z,Standard Class,JM-15250,OFF-AR-10000390,3.304,1,3.304,0.2
