"period_id","product_id","X1.sales","X1.items","X2.sales","X2.items","X3.sales","X3.items","X4.sales","X4.items","X5.sales","X5.items","cat"
9669,148022,22128.56,424,120972.8,1454,112729.37,4493,63374.4,4890,124748.8,1760,1
21900,829913,191227.4,3185,23266.11,483,321302.6,3596,296786.29,4469,151035.3,4563,2
15047,426433,13029.92,142,343339.92,4504,17029.98,3294,107954.08,1768,70616.64,1632,2
920,116726,35435.76,1227,155450.1,2990,27012.96,1521,124565.28,2264,54080.95,1277,1
28757,809182,115571.72,4588,24604.64,824,314526.69,4097,73507.5,3375,95511.52,1222,1
4917,403513,301031,4493,85790.32,1466,85140.36,1278,17425.32,1419,107519.93,1253,1
15568,472203,119652.54,4858,61433.46,1562,115059.2,2020,257872.56,4664,48980.48,2014,1
3589,618059,41924.23,1663,118034.52,1182,203749.48,3916,138332.58,2714,191388.7,2021,3
19433,768377,317939.16,3622,121900.92,4002,75965.04,2468,47390.37,3513,34553.36,2047,1
14711,650902,61563.25,1939,63155.72,4892,256907,3430,8793.58,1387,131215.24,2171,3
16355,653628,75903.75,2595,107340.96,1356,373670.88,4301,42759.15,1055,197346.93,2101,3
19071,414680,38946.3,4955,19760.65,559,18596.2,2513,66801.96,3492,3789.25,659,3
10581,880683,26484.1,530,331388.96,3932,7591.92,168,41177.75,475,38195.87,1633,1
15524,834212,73619.28,4328,115039.08,2092,147627.9,3942,445003.84,4856,147136.15,1795,3
12446,222000,59844.16,3979,27915.1,458,15298.47,153,87475.15,1465,13035.35,265,1
5998,800832,385665.28,4312,23848.28,2063,9943.57,343,100920.12,2653,135506.38,2078,1
8936,790348,160254.12,1677,73405.2,737,20212.56,402,278805.9,3398,210940.2,4490,3
5371,545520,20608.2,214,134210.38,3149,99134.97,1843,120931.2,1615,66455.64,729,1
9775,703070,163447.67,2867,404425.84,4088,154345.5,3811,241767.57,3531,249661.02,3738,2
9631,683396,18172.99,253,8614.55,755,52806,1300,113312.92,1996,67971.24,4869,3
13637,454248,50536.08,813,124853.7,1695,2716.49,151,183437.6,4910,58160.52,627,3
9564,915144,332888.96,4603,59949.54,2058,66489.5,4235,101541.15,2115,350573.31,4733,3
15453,491220,110192.91,4371,392080.56,4681,189416.16,1983,133302.08,1952,10726.71,1061,1
20855,268804,23128.56,3276,39860.65,811,77243.2,1840,74946.77,3449,131074.2,1740,2
363,414162,206208.9,2945,375108.16,4832,242272,2680,165764.75,1825,36562.48,2152,2
8264,903309,43771.09,979,23423.96,931,266017.44,2874,12437.14,202,6333.56,764,3
27066,596591,287911.35,3585,52589.02,3751,3191.89,559,110603.76,1416,415778.76,4668,2
25779,226169,152495.2,2288,31939.52,661,22346.43,373,138316.02,2746,17555.73,493,1
16853,274109,34657.44,2472,60182.76,2154,9440.64,132,166510.1,1765,14593.14,1938,1
