"period_id";"date";"type"
9669;"02_01_2000";"b"
21900;"03_01_2000";"c"
15047;"04_01_2000";"a"
920;"05_01_2000";"d"
28757;"06_01_2000";"a"
4917;"07_01_2000";"a"
15568;"08_01_2000";"c"
3589;"09_01_2000";"b"
19433;"10_01_2000";"c"
14711;"11_01_2000";"d"
16355;"12_01_2000";"a"
19071;"13_01_2000";"a"
10581;"14_01_2000";"b"
15524;"15_01_2000";"a"
12446;"16_01_2000";"d"
5998;"17_01_2000";"a"
8936;"18_01_2000";"a"
5371;"19_01_2000";"a"
9775;"20_01_2000";"d"
9631;"21_01_2000";"a"
13637;"22_01_2000";"d"
9564;"23_01_2000";"b"
15453;"24_01_2000";"b"
20855;"25_01_2000";"c"
363;"26_01_2000";"b"
8264;"27_01_2000";"d"
27066;"28_01_2000";"b"
25779;"29_01_2000";"c"
16853;"30_01_2000";"b"
25533;"31_01_2000";"c"
27206;"01_02_2000";"c"
19375;"02_02_2000";"d"
18201;"03_02_2000";"d"
13902;"04_02_2000";"b"
1429;"05_02_2000";"b"
27310;"06_02_2000";"b"
27257;"07_02_2000";"d"
12378;"08_02_2000";"a"
8423;"09_02_2000";"c"
14197;"10_02_2000";"a"
8392;"11_02_2000";"b"
11924;"12_02_2000";"c"
28235;"13_02_2000";"b"
4137;"14_02_2000";"c"
5185;"15_02_2000";"a"
16611;"16_02_2000";"c"
29602;"17_02_2000";"d"
26911;"18_02_2000";"c"
3124;"19_02_2000";"c"
12205;"20_02_2000";"b"
22540;"21_02_2000";"d"
3724;"22_02_2000";"d"
14048;"23_02_2000";"a"
12898;"24_02_2000";"d"
2863;"25_02_2000";"d"
21771;"26_02_2000";"c"
29146;"27_02_2000";"d"
24862;"28_02_2000";"a"
22774;"29_02_2000";"d"
14476;"01_03_2000";"c"
1333;"02_03_2000";"b"
25443;"03_03_2000";"b"
5769;"04_03_2000";"a"
14307;"05_03_2000";"d"
3181;"06_03_2000";"a"
23490;"07_03_2000";"b"
4032;"08_03_2000";"d"
29853;"09_03_2000";"a"
6742;"10_03_2000";"c"
15071;"11_03_2000";"d"
18793;"12_03_2000";"d"
28660;"13_03_2000";"c"
24629;"14_03_2000";"c"
3099;"15_03_2000";"b"
24830;"16_03_2000";"d"
3116;"17_03_2000";"a"
14485;"18_03_2000";"c"
27448;"19_03_2000";"c"
24393;"20_03_2000";"d"
20195;"21_03_2000";"c"
10564;"22_03_2000";"a"
10392;"23_03_2000";"d"
7834;"24_03_2000";"d"
16330;"25_03_2000";"a"
4024;"26_03_2000";"a"
19266;"27_03_2000";"d"
22271;"28_03_2000";"c"
17695;"29_03_2000";"a"
19419;"30_03_2000";"a"
18993;"31_03_2000";"d"
10191;"01_04_2000";"a"
25593;"02_04_2000";"c"
12302;"03_04_2000";"d"
18260;"04_04_2000";"a"
15924;"05_04_2000";"c"
623;"06_04_2000";"a"
8058;"07_04_2000";"c"
28361;"08_04_2000";"d"
5979;"09_04_2000";"b"
9580;"10_04_2000";"d"
5599;"11_04_2000";"d"
24925;"12_04_2000";"a"
26706;"13_04_2000";"b"
23096;"14_04_2000";"a"
9646;"15_04_2000";"b"
3055;"16_04_2000";"d"
14474;"17_04_2000";"d"
10389;"18_04_2000";"b"
15292;"19_04_2000";"c"
13027;"20_04_2000";"c"
9494;"21_04_2000";"c"
24845;"22_04_2000";"b"
11721;"23_04_2000";"a"
409;"24_04_2000";"a"
6250;"25_04_2000";"a"
23596;"26_04_2000";"b"
20396;"27_04_2000";"c"
28124;"28_04_2000";"d"
21143;"29_04_2000";"b"
997;"30_04_2000";"d"
9650;"01_05_2000";"c"
451;"02_05_2000";"a"
4140;"03_05_2000";"a"
27023;"04_05_2000";"c"
20234;"05_05_2000";"d"
13784;"06_05_2000";"c"
25784;"07_05_2000";"d"
22017;"08_05_2000";"c"
9829;"09_05_2000";"b"
28521;"10_05_2000";"c"
15346;"11_05_2000";"d"
16207;"12_05_2000";"b"
18159;"13_05_2000";"a"
6497;"14_05_2000";"d"
15896;"15_05_2000";"c"
17880;"16_05_2000";"b"
25192;"17_05_2000";"c"
7397;"18_05_2000";"d"
15401;"19_05_2000";"a"
3586;"20_05_2000";"c"
19312;"21_05_2000";"d"
16513;"22_05_2000";"d"
5010;"23_05_2000";"b"
5361;"24_05_2000";"d"
15877;"25_05_2000";"b"
21435;"26_05_2000";"a"
29341;"27_05_2000";"b"
13497;"28_05_2000";"b"
24508;"29_05_2000";"a"
13261;"30_05_2000";"d"
29056;"31_05_2000";"d"
1845;"01_06_2000";"b"
9476;"02_06_2000";"c"
20323;"03_06_2000";"d"
3565;"04_06_2000";"b"
21657;"05_06_2000";"c"
2941;"06_06_2000";"c"
26586;"07_06_2000";"d"
24454;"08_06_2000";"c"
8224;"09_06_2000";"b"
21731;"10_06_2000";"a"
8883;"11_06_2000";"d"
6713;"12_06_2000";"b"
21532;"13_06_2000";"c"
12264;"14_06_2000";"c"
8636;"15_06_2000";"c"
17898;"16_06_2000";"c"
27201;"17_06_2000";"c"
2745;"18_06_2000";"b"
14662;"19_06_2000";"b"
18109;"20_06_2000";"a"
22799;"21_06_2000";"d"
26792;"22_06_2000";"b"
12262;"23_06_2000";"a"
18873;"24_06_2000";"c"
25898;"25_06_2000";"b"
13666;"26_06_2000";"a"
3938;"27_06_2000";"d"
8067;"28_06_2000";"c"
6289;"29_06_2000";"b"
4706;"30_06_2000";"a"
28310;"01_07_2000";"c"
15558;"02_07_2000";"c"
11283;"03_07_2000";"a"
21425;"04_07_2000";"a"
16660;"05_07_2000";"c"
16596;"06_07_2000";"d"
8117;"07_07_2000";"b"
25372;"08_07_2000";"d"
20999;"09_07_2000";"d"
27693;"10_07_2000";"b"
9709;"11_07_2000";"a"
14718;"12_07_2000";"b"
24903;"13_07_2000";"c"
27215;"14_07_2000";"d"
19485;"15_07_2000";"a"
11300;"16_07_2000";"d"
25071;"17_07_2000";"d"
14647;"18_07_2000";"a"
10092;"19_07_2000";"c"
23642;"20_07_2000";"a"
25477;"21_07_2000";"a"
16997;"22_07_2000";"b"
26419;"23_07_2000";"d"
27579;"24_07_2000";"d"
17152;"25_07_2000";"b"
28496;"26_07_2000";"d"
10107;"27_07_2000";"a"
12712;"28_07_2000";"a"
25857;"29_07_2000";"b"
14237;"30_07_2000";"d"
